"#tblds_05_GrainSizeDist_1990s.csv: Masses of sediments within certain size classes from core samples collected with a fixed-piston, wireline core barrel at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1990 and 1998. Sediments were separated into size fractions using sieve methods and hydrometer methods.",,,,,,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,medium_cd,TOS_mBLS,BOS_mBLS,min_diam_mm,max_diam_mm,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,comments
ds_05,x9808,9808.1,7/29/1998,NA,SC,7.71,7.78,1,,xLS010,diam_1mm_p,,0.47,xLSGS2,not previously published ,
ds_05,x9808,9808.11,7/29/1998,NA,SC,7.78,7.86,1,,xLS010,diam_1mm_p,,0.49,xLSGS2,not previously published ,
ds_05,x9808,9808.12,7/29/1998,NA,SC,7.86,7.93,1,,xLS010,diam_1mm_p,,1.01,xLSGS2,not previously published ,
ds_05,x9808,9808.13,7/29/1998,NA,SC,7.94,8.01,1,,xLS010,diam_1mm_p,,0.01,xLSGS2,not previously published ,
ds_05,x9808,9808.14,7/29/1998,NA,SC,8.02,8.09,1,,xLS010,diam_1mm_p,,0.02,xLSGS2,not previously published ,
ds_05,x9808,9808.15,7/29/1998,NA,SC,8.09,8.17,1,,xLS010,diam_1mm_p,,0,xLSGS2,not previously published ,
ds_05,x9808,9808.16,7/29/1998,NA,SC,8.17,8.25,1,,xLS010,diam_1mm_p,,0.02,xLSGS2,not previously published ,
ds_05,x9808,9808.17,7/29/1998,NA,SC,8.25,8.32,1,,xLS010,diam_1mm_p,,0.04,xLSGS2,not previously published ,
ds_05,x9808,9808.18,7/29/1998,NA,SC,8.33,8.4,1,,xLS010,diam_1mm_p,,6.67,xLSGS2,not previously published ,
ds_05,x9808,9808.19,7/29/1998,NA,SC,8.4,8.48,1,,xLS010,diam_1mm_p,,0.09,xLSGS2,not previously published ,
ds_05,x9808,9808.2,7/29/1998,NA,SC,8.48,8.55,1,,xLS010,diam_1mm_p,,0.08,xLSGS2,not previously published ,
ds_05,x9808,9808.21,7/29/1998,NA,SC,8.56,8.63,1,,xLS010,diam_1mm_p,,0,xLSGS2,not previously published ,
ds_05,x9808,9808.22,7/29/1998,NA,SC,8.64,8.71,1,,xLS010,diam_1mm_p,,0.36,xLSGS2,not previously published ,
ds_05,x9808,9808.23,7/29/1998,NA,SC,8.71,8.79,1,,xLS010,diam_1mm_p,,2.43,xLSGS2,not previously published ,
ds_05,x9808,9808.24,7/29/1998,NA,SC,8.79,8.87,1,,xLS010,diam_1mm_p,,0.1,xLSGS2,not previously published ,
ds_05,x9802,9802.01,7/29/1998,NA,SC,5.18,5.26,0.71,1,xLS011,diam_0.71_1mm_p,,1.71,xLSGS2,not previously published ,
ds_05,x9802,9802.02,7/29/1998,NA,SC,5.26,5.33,0.71,1,xLS011,diam_0.71_1mm_p,,1.07,xLSGS2,not previously published ,
ds_05,x9802,9802.03,7/29/1998,NA,SC,5.34,5.41,0.71,1,xLS011,diam_0.71_1mm_p,,2.85,xLSGS2,not previously published ,
ds_05,x9802,9802.04,7/29/1998,NA,SC,5.42,5.49,0.71,1,xLS011,diam_0.71_1mm_p,,0.65,xLSGS2,not previously published ,
ds_05,x9802,9802.05,7/29/1998,NA,SC,5.49,5.57,0.71,1,xLS011,diam_0.71_1mm_p,,0.92,xLSGS2,not previously published ,
ds_05,x9802,9802.06,7/29/1998,NA,SC,5.57,5.64,0.71,1,xLS011,diam_0.71_1mm_p,,0.32,xLSGS2,not previously published ,
ds_05,x9802,9802.07,7/29/1998,NA,SC,5.65,5.72,0.71,1,xLS011,diam_0.71_1mm_p,,1.19,xLSGS2,not previously published ,
ds_05,x9802,9802.08,7/29/1998,NA,SC,5.72,5.8,0.71,1,xLS011,diam_0.71_1mm_p,,0.6,xLSGS2,not previously published ,
ds_05,x9802,9802.09,7/29/1998,NA,SC,5.8,5.87,0.71,1,xLS011,diam_0.71_1mm_p,,0.99,xLSGS2,not previously published ,
ds_05,x9802,9802.1,7/29/1998,NA,SC,5.88,5.95,0.71,1,xLS011,diam_0.71_1mm_p,,0.85,xLSGS2,not previously published ,
ds_05,x9802,9802.11,7/29/1998,NA,SC,5.95,6.03,0.71,1,xLS011,diam_0.71_1mm_p,,0.15,xLSGS2,not previously published ,
