Year,Sample_ID,Collection_Date,Latitude,Longitude,Sample_Type,Collection_Depth,Collection_Mthd,Constituent,Definition,Reported_Value,Reported_QA,Unit,Instrument
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Na,Sodium concentration of the sample,2.09,,mg/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,PO4,Phosphate concentration of the sample,0.200,LT,mg/L,IC
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,SO4,Sulfate concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Si,Silicon concentration of the sample,10.2,,mg/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Sr,Strontium concentration of the sample,74.0,,ug/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Zn,Zinc concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Al,Aluminum concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Alkalinity,Alkalinity concentration of the sample measured in milligrams per liter as bicarbonate,242,,mg/L,Titrator
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,B,Boron concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Ba,Barium concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Br,Bromide concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Ca,Calcium concentration of the sample,43.7,,mg/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Cl,Chloride concentration of the sample,0.821,,mg/L,IC
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Cu,Copper concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Fe,Iron concentration of the sample,686,,ug/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,K,Potassium concentration of the sample,1.35,,mg/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Li,Lithium concentration of the sample,50,LT,ug/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Mg,Magnesium concentration of the sample,10.0,,mg/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Mn,Manganese concentration of the sample,440,,ug/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,NH3-N,Total ammonia nitrogen concentration of the sample,3.07,,mg N/L,Automated colorimetry
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,NO3,Nitrate concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,NVDOC,Nonvolatile dissolved organic carbon concentration of the sample,10.6,,mg/L,TOC Analyzer
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,Na,Sodium concentration of the sample,1.62,,mg/L,ICP-OES
2017,BEM-2017-02-001,2017-06-22,47.57453,-95.08586,Pore Water,1,Kuwabara,PO4,Phosphate concentration of the sample,0.200,LT,mg/L,IC
