parm_cd,parm_cd_ref,parm_shortname,parm_cd_descript,units,CASRN,version_when_added
xLS167,Local,diam_0.003_0.0039mm_g,"Soil classification, weight of sample having a minimum diameter of 0.003 millimeters and a maximum diameter of 0.0039 millimeters, grams",g,,version 1.0
xLS168,Local,diam_0.00315_0.00515mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00315 millimeters and a maximum diameter of 0.00515 millimeters, grams",g,,version 1.0
xLS169,Local,diam_0.00317_0.00335mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00317 millimeters and a maximum diameter of 0.00335 millimeters, grams",g,,version 1.0
xLS170,Local,diam_0.00317_0.0034mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00317 millimeters and a maximum diameter of 0.0034 millimeters, grams",g,,version 1.0
xLS171,Local,diam_0.00317_0.00391mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00317 millimeters and a maximum diameter of 0.00391 millimeters, grams",g,,version 1.0
xLS172,Local,diam_0.00317_0.00419mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00317 millimeters and a maximum diameter of 0.00419 millimeters, grams",g,,version 1.0
xLS173,Local,diam_0.00317_0.00449mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00317 millimeters and a maximum diameter of 0.00449 millimeters, grams",g,,version 1.0
xLS174,Local,diam_0.00317_0.00481mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00317 millimeters and a maximum diameter of 0.00481 millimeters, grams",g,,version 1.0
xLS175,Local,diam_0.0032_0.0045mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0032 millimeters and a maximum diameter of 0.0045 millimeters, grams",g,,version 1.0
xLS176,Local,diam_0.00328_0.00461mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00328 millimeters and a maximum diameter of 0.00461 millimeters, grams",g,,version 1.0
xLS177,Local,diam_0.00331_0.0034mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00331 millimeters and a maximum diameter of 0.0034 millimeters, grams",g,,version 1.0
xLS178,Local,diam_0.00331_0.00468mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00331 millimeters and a maximum diameter of 0.00468 millimeters, grams",g,,version 1.0
xLS179,Local,diam_0.00335_0.00478mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00335 millimeters and a maximum diameter of 0.00478 millimeters, grams",g,,version 1.0
xLS180,Local,diam_0.00335_0.00481mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00335 millimeters and a maximum diameter of 0.00481 millimeters, grams",g,,version 1.0
xLS181,Local,diam_0.0034_0.00364mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0034 millimeters and a maximum diameter of 0.00364 millimeters, grams",g,,version 1.0
xLS182,Local,diam_0.0034_0.00419mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0034 millimeters and a maximum diameter of 0.00419 millimeters, grams",g,,version 1.0
xLS183,Local,diam_0.0034_0.00481mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0034 millimeters and a maximum diameter of 0.00481 millimeters, grams",g,,version 1.0
xLS184,Local,diam_0.0034_0.00515mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0034 millimeters and a maximum diameter of 0.00515 millimeters, grams",g,,version 1.0
xLS185,Local,diam_0.00345_0.00481mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00345 millimeters and a maximum diameter of 0.00481 millimeters, grams",g,,version 1.0
xLS186,Local,diam_0.00352_0.00515mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00352 millimeters and a maximum diameter of 0.00515 millimeters, grams",g,,version 1.0
xLS187,Local,diam_0.00362_0.00508mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00362 millimeters and a maximum diameter of 0.00508 millimeters, grams",g,,version 1.0
