LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,MeasuringPointElevation_mASL_NAVD88,well_MP_height_m,LandSurfaceElevation_mASL_NAVD88,TopOfScreenElevation_mASL_NAVD88,BottomOfScreenElevation_mASL_NAVD88,ScreenLength_m,MidOfScreenElevation_mASL_NAVD88,TotalWellDepth_mBLS,TotalBoring/DrillingDepth_mBLS,DiameterOfDrillHole_cm,WellCasingInnerDiameter_cm,OpeningTypeDescription,WidthOfOpeningsInOpenInterval_cm,CasingMaterialDescription,ScreenMaterialDescription,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,Comments_Miscellaneous,SiteActiveStatus,Comments_Status,ApproxRemovalDate
x1212G-05,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052627,1212G-05  Bemidji Toxics Research Site,342768.07,5271038.45,1.0,-16.92,430.21,0.0,430.21,426.494,426.464,0.03,426.479,3.746,5.944,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20120615.0,,,J. Greene; B. Mason,Located near well 9620,Active,,
x1212G-06,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052628,1212G-06  Bemidji Toxics Research Site,342768.07,5271038.45,1.0,-16.92,430.21,0.0,430.21,426.833,426.802,0.031,426.818,3.408,5.944,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20120615.0,,,J. Greene; B. Mason,Located near well 9620,Active,,
x1212G-07,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052629,1212G-07  Bemidji Toxics Research Site,342768.07,5271038.45,1.0,-16.92,430.21,0.0,430.21,427.165,427.135,0.03,427.15,3.075,5.944,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20120615.0,,,J. Greene; B. Mason,Located near well 9620,Active,,
x1212G-08,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052630,1212G-08  Bemidji Toxics Research Site,342768.07,5271038.45,1.0,-16.92,430.21,0.0,430.21,427.494,427.464,0.03,427.479,2.746,5.944,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20120615.0,,,J. Greene; B. Mason,Located near well 9620,Active,,
x1212G-09,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052631,1212G-09  Bemidji Toxics Research Site,342768.07,5271038.45,1.0,-16.92,430.21,0.0,430.21,427.836,427.805,0.031,427.82,2.405,5.944,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20120615.0,,,J. Greene; B. Mason,Located near well 9620,Active,,
x1212G-10,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052632,1212G-10  Bemidji Toxics Research Site,342768.07,5271038.45,1.0,-16.92,430.21,0.0,430.21,428.665,428.634,0.031,428.65,1.576,5.944,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20120615.0,,,J. Greene; B. Mason,Located near well 9620,Active,,
x707G-02,Bemidji,wv,unsaturated zone vapor sampling well,x473424095052907,707G-02   Bemidji Toxics Research Site,342714.17,5271007.89,1.0,-78.58,430.81,0.0,430.81,426.326,426.296,0.03,426.311,4.514,5.639,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20160809.0,,,B. Mason; J.W. Lund,Installed this vapor well next to current 707 well nest (707AR & 707DR),Active,,
x707G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473424095052908,707G-03   Bemidji Toxics Research Site,342714.17,5271007.89,1.0,-78.58,430.81,0.0,430.81,427.326,427.296,0.03,427.311,3.514,5.639,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20160809.0,,,B. Mason; J.W. Lund,Installed this vapor well next to current 707 well nest (707AR & 707DR),Active,,
x707G-04,Bemidji,wv,unsaturated zone vapor sampling well,x473424095052909,707G-04   Bemidji Toxics Research Site,342714.17,5271007.89,1.0,-78.58,430.81,0.0,430.81,428.326,428.295,0.031,428.31,2.515,5.639,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20160809.0,,,B. Mason; J.W. Lund,Installed this vapor well next to current 707 well nest (707AR & 707DR),Active,,
x707G-05,Bemidji,wv,unsaturated zone vapor sampling well,x473424095052910,707G-05   Bemidji Toxics Research Site,342714.17,5271007.89,1.0,-78.58,430.81,0.0,430.81,429.326,429.295,0.031,429.31,1.515,5.639,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20160809.0,,,B. Mason; J.W. Lund,Installed this vapor well next to current 707 well nest (707AR & 707DR),Active,,
