LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,OtherEquip_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,OtherEquipmentPurpose,Comments_Equipment,Comments,Comments_Miscellaneous
x15seis1.39,Bemidji,ss,seismic survey blast point,,,342845.59,5270992.92,,,431.592,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.40,Bemidji,ss,seismic survey blast point,,,342855.52,5270983.18,,,431.513,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.41,Bemidji,ss,seismic survey blast point,,,342858.27,5270980.14,,,431.476,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.26,Bemidji,ss,seismic survey blast point,,,342805.82,5271030.96,,,431.866,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.25,Bemidji,ss,seismic survey blast point,,,342802.91,5271033.66,,,431.843,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.24,Bemidji,ss,seismic survey blast point,,,342800.02,5271036.44,,,431.847,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.23,Bemidji,ss,seismic survey blast point,,,342797.09,5271039.14,1.0,-9.89,431.833,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.22,Bemidji,ss,seismic survey blast point,,,342791.16,5271044.66,1.0,6.7,431.763,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.21,Bemidji,ss,seismic survey blast point,,,342788.37,5271047.27,,,431.888,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.20,Bemidji,ss,seismic survey blast point,,,342785.45,5271050.06,,,431.964,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.19,Bemidji,ss,seismic survey blast point,,,342782.39,5271052.8,,,432.002,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.18,Bemidji,ss,seismic survey blast point,,,342779.49,5271055.53,,,432.035,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.17,Bemidji,ss,seismic survey blast point,,,342776.52,5271058.19,,,431.997,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.16,Bemidji,ss,seismic survey blast point,,,342773.62,5271060.88,,,431.953,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.15,Bemidji,ss,seismic survey blast point,,,342767.58,5271066.24,,,432.0,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.14,Bemidji,ss,seismic survey blast point,,,342761.71,5271071.66,,,432.068,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.13,Bemidji,ss,seismic survey blast point,,,342758.88,5271074.39,,,432.087,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.12,Bemidji,ss,seismic survey blast point,,,342756.02,5271077.2,,,432.112,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.11,Bemidji,ss,seismic survey blast point,,,342753.21,5271080.01,,,432.169,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.10,Bemidji,ss,seismic survey blast point,,,342750.3,5271082.78,,,432.199,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.09,Bemidji,ss,seismic survey blast point,,,342744.51,5271088.34,,,432.243,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.08,Bemidji,ss,seismic survey blast point,,,342741.6,5271091.04,,,432.227,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.07,Bemidji,ss,seismic survey blast point,,,342738.7,5271093.84,,,432.249,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.06,Bemidji,ss,seismic survey blast point,,,342735.9,5271096.59,,,432.261,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.05,Bemidji,ss,seismic survey blast point,,,342733.04,5271099.34,,,432.276,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.04,Bemidji,ss,seismic survey blast point,,,342730.08,5271102.1,,,432.289,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.03,Bemidji,ss,seismic survey blast point,,,342727.24,5271104.89,,,432.341,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.02,Bemidji,ss,seismic survey blast point,,,342724.43,5271107.76,,,432.388,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.01,Bemidji,ss,seismic survey blast point,,,342721.42,5271110.38,,,432.423,0.0,,,USGS MN Water Science Center,Not applicable,,,,
