LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,LocalSiteCoreSubName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,Core_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,TotalBoring/DrillingDepth_mBLS,NameOfContractor,DrillerName,CoringBegan_mBLS,CoringEnded_mBLS,CoreRecoveryLength_m,TopOfCoreElevation_mASL_NAVD88,CoreLengthPounded_m,CoreBarrelType,SubsurfaceCoreZone,FreeProductOilPresentInCore,DrillersFieldComments,Comments_Miscellaneous
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-9,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,4.877,5.486,0.558,428.368,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-10,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,5.486,6.096,0.533,427.759,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-11,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,6.096,6.706,0.491,427.149,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-12,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,6.706,7.315,0.494,426.539,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,Silt layer in core. 0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-13,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,7.315,7.925,0.418,425.93,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-14,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,7.925,8.534,0.457,425.32,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-15,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,8.534,9.144,0.454,424.711,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-16,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,9.144,11.278,1.253,424.101,2.134,Hollow stem: 7-ft wireline piston core sample barrel with freezing drive shoe into 1.875-inch polycarbonate sleeve,Spanning the water table,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-1,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,0.0,0.61,0.485,433.245,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-6,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,3.048,3.658,0.497,430.197,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,Silt layer in core. 0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1606,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1606-1,342900.77,5271091.0,1.0,125.69,433.279,0.0,20160805,,12.192,USGS MN Water Science Center,B. Mason; J.W. Lund,10.058,12.192,1.551,423.221,2.134,Hollow stem: 7-ft wireline piston core sample barrel with freezing drive shoe into 1.875-inch polycarbonate sleeve,Saturated Zone,No,Drilled to 33.0 ft below land surface and began coring. Stuff on top of core. Did not use for analysis.,
